status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
no checking account,24,no credits taken/all credits paid back duly,others,915,... >= 1000 DM,>= 7 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
0<= ... < 200 DM,24,no credits taken/all credits paid back duly,others,947,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,38,bank,own,1,skilled employee/official,3 or more,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,1381,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,35,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,1285,... >= 1000 DM,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,32,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,1371,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,18,no credits taken/all credits paid back duly,others,1042,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,others,900,... >= 1000 DM,1 <= ... < 4 yrs,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,1207,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,18,delay in paying off in the past,others,2278,... <  100 DM,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,60,existing credits paid back duly till now,retraining,6836,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,63,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,no credits taken/all credits paid back duly,car (used),3345,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,39,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,6,critical account/other credits elsewhere,repairs,1198,unknown/no savings account,>= 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,35,none,own,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,48,no credits taken/all credits paid back duly,retraining,15672,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,23,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,60,no credits taken/all credits paid back duly,retraining,7297,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,co-applicant,>= 7 yrs,real estate,36,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,domestic appliances,1943,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,18,no credits taken/all credits paid back duly,furniture/equipment,3190,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,9,critical account/other credits elsewhere,car (new),5129,unknown/no savings account,>= 7 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,real estate,74,bank,own,1,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,car (used),1808,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,< 1 yr,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
0<= ... < 200 DM,10,no credits taken/all credits paid back duly,others,1240,... <  100 DM,>= 7 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,real estate,48,none,own,1,unskilled - resident,3 or more,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,others,759,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,8,no credits taken/all credits paid back duly,car (used),1237,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,9,no credits taken/all credits paid back duly,car (used),1980,unknown/no savings account,< 1 yr,25 <= ... < 35,female : non-single or male : single,co-applicant,1 <= ... < 4 yrs,building soc. savings agr./life insurance,19,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,10961,500 <= ... < 1000 DM,4 <= ... < 7 yrs,>= 35,male : married/widowed,co-applicant,1 <= ... < 4 yrs,real estate,27,bank,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,36,existing credits paid back duly till now,repairs,6887,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,car or other,29,stores,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,1938,unknown/no savings account,< 1 yr,< 20,male : divorced/separated,none,4 <= ... < 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,21,no credits taken/all credits paid back duly,furniture/equipment,1835,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,24,existing credits paid back duly till now,furniture/equipment,1659,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
... < 0 DM,6,existing credits paid back duly till now,others,1209,unknown/no savings account,unemployed,< 20,male : married/widowed,none,>= 7 yrs,car or other,47,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,48,delay in paying off in the past,retraining,3844,... <  100 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,34,none,own,1,unskilled - resident,3 or more,no,no,bad
no checking account,12,all credits at this bank paid back duly,others,4843,unknown/no savings account,>= 7 yrs,20 <= ... < 25,male : married/widowed,co-applicant,>= 7 yrs,car or other,43,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,domestic appliances,639,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,30,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,48,no credits taken/all credits paid back duly,furniture/equipment,5951,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,22,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,36,delay in paying off in the past,furniture/equipment,3804,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,furniture/equipment,4463,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,7980,... >= 1000 DM,< 1 yr,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,27,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
0<= ... < 200 DM,36,no credits taken/all credits paid back duly,furniture/equipment,4210,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,6,no credits taken/all credits paid back duly,car (used),4611,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,32,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,car (new),11560,unknown/no savings account,1 <= ... < 4 yrs,>= 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,23,none,for free,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,18,delay in paying off in the past,retraining,4165,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,stores,rent,2-3,skilled employee/official,3 or more,no,no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,car (used),4057,unknown/no savings account,4 <= ... < 7 yrs,20 <= ... < 25,male : divorced/separated,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,43,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,18,critical account/other credits elsewhere,others,6458,unknown/no savings account,>= 7 yrs,25 <= ... < 35,male : married/widowed,none,>= 7 yrs,real estate,39,bank,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,others,1386,100 <= ... <  500 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,26,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,36,no credits taken/all credits paid back duly,repairs,1977,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,40,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,18,all credits at this bank paid back duly,car (used),1928,unknown/no savings account,< 1 yr,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,31,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,12,no credits taken/all credits paid back duly,car (used),1123,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,29,none,for free,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,business,11328,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,29,bank,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,24,all credits at this bank paid back duly,business,11938,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,39,none,rent,2-3,manager/self-empl./highly qualif. employee,3 or more,yes (under customer name),no,bad
... < 0 DM,27,all credits at this bank paid back duly,furniture/equipment,2520,100 <= ... <  500 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,car or other,23,none,rent,2-3,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,30,existing credits paid back duly till now,furniture/equipment,1919,... <  100 DM,< 1 yr,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,30,stores,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
... < 0 DM,60,critical account/other credits elsewhere,business,14782,... <  100 DM,>= 7 yrs,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,real estate,60,bank,own,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,36,no credits taken/all credits paid back duly,furniture/equipment,2671,... <  100 DM,1 <= ... < 4 yrs,< 20,female : non-single or male : single,co-applicant,>= 7 yrs,real estate,50,none,own,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,36,no credits taken/all credits paid back duly,repairs,12612,... <  100 DM,1 <= ... < 4 yrs,>= 35,male : married/widowed,none,>= 7 yrs,real estate,47,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad
... < 0 DM,45,no credits taken/all credits paid back duly,furniture/equipment,3031,... <  100 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,guarantor,>= 7 yrs,car or other,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,12,critical account/other credits elsewhere,furniture/equipment,626,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,bank,rent,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,24,all credits at this bank paid back duly,retraining,1935,unknown/no savings account,>= 7 yrs,< 20,male : divorced/separated,none,>= 7 yrs,unknown / no property,31,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
0<= ... < 200 DM,24,all credits at this bank paid back duly,others,1344,... >= 1000 DM,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,37,bank,rent,2-3,unskilled - resident,3 or more,no,no,bad
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,car (used),1533,unknown/no savings account,< 1 yr,< 20,female : single,co-applicant,< 1 yr,car or other,43,none,rent,1,unskilled - resident,3 or more,no,no,bad
no checking account,48,no credits taken/all credits paid back duly,others,3931,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,46,none,own,1,skilled employee/official,3 or more,no,no,bad
no checking account,24,critical account/other credits elsewhere,car (used),3349,100 <= ... <  500 DM,< 1 yr,< 20,male : married/widowed,none,>= 7 yrs,real estate,30,none,own,1,skilled employee/official,3 or more,yes (under customer name),no,bad
no checking account,36,no credits taken/all credits paid back duly,furniture/equipment,2302,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,>= 7 yrs,building soc. savings agr./life insurance,31,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,42,no credits taken/all credits paid back duly,furniture/equipment,3965,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,34,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,12,no credits taken/all credits paid back duly,furniture/equipment,727,... <  100 DM,< 1 yr,< 20,female : single,none,4 <= ... < 7 yrs,real estate,33,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,48,no credits taken/all credits paid back duly,retraining,3914,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : divorced/separated,none,1 <= ... < 4 yrs,unknown / no property,38,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,48,no credits taken/all credits paid back duly,retraining,4308,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,24,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1534,unknown/no savings account,< 1 yr,>= 35,female : single,none,< 1 yr,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,others,2775,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,none,1 <= ... < 4 yrs,car or other,31,bank,rent,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,40,all credits at this bank paid back duly,repairs,5998,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,real estate,27,bank,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
0<= ... < 200 DM,15,all credits at this bank paid back duly,furniture/equipment,1271,... >= 1000 DM,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,39,none,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,others,1295,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,< 1 yr,building soc. savings agr./life insurance,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,36,no credits taken/all credits paid back duly,car (new),9398,unknown/no savings account,< 1 yr,>= 35,female : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,car (used),951,... <  100 DM,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,27,bank,for free,>= 6,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,24,no credits taken/all credits paid back duly,others,1355,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,25,none,rent,1,unskilled - resident,0 to 2,yes (under customer name),no,bad
no checking account,48,no credits taken/all credits paid back duly,radio/television,3051,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,54,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,36,all credits at this bank paid back duly,others,7855,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,unknown / no property,25,stores,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,18,no credits taken/all credits paid back duly,furniture/equipment,433,unknown/no savings account,unemployed,20 <= ... < 25,female : non-single or male : single,co-applicant,>= 7 yrs,unknown / no property,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,retraining,9572,unknown/no savings account,< 1 yr,>= 35,male : divorced/separated,none,< 1 yr,building soc. savings agr./life insurance,28,none,rent,2-3,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,24,critical account/other credits elsewhere,repairs,1837,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,real estate,34,bank,own,1,unskilled - resident,0 to 2,no,no,bad
... < 0 DM,30,all credits at this bank paid back duly,others,4249,unknown/no savings account,unemployed,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
... < 0 DM,30,all credits at this bank paid back duly,others,5234,unknown/no savings account,unemployed,< 20,female : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,28,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
no checking account,48,no credits taken/all credits paid back duly,furniture/equipment,6758,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,9,no credits taken/all credits paid back duly,furniture/equipment,1366,unknown/no savings account,< 1 yr,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,car or other,22,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,critical account/other credits elsewhere,business,1358,... >= 1000 DM,>= 7 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,40,stores,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,18,no credits taken/all credits paid back duly,car (used),2473,unknown/no savings account,unemployed,< 20,male : married/widowed,none,< 1 yr,building soc. savings agr./life insurance,25,none,rent,1,unemployed/unskilled - non-resident,0 to 2,no,no,bad
0<= ... < 200 DM,9,delay in paying off in the past,furniture/equipment,1337,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,34,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,48,no credits taken/all credits paid back duly,others,7763,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,42,bank,own,1,manager/self-empl./highly qualif. employee,0 to 2,no,no,bad
... < 0 DM,15,critical account/other credits elsewhere,others,1264,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,1 <= ... < 4 yrs,car or other,25,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,15,no credits taken/all credits paid back duly,others,2631,... <  100 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : non-single or male : single,none,>= 7 yrs,building soc. savings agr./life insurance,28,none,for free,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,48,no credits taken/all credits paid back duly,others,6560,... <  100 DM,4 <= ... < 7 yrs,20 <= ... < 25,male : married/widowed,none,1 <= ... < 4 yrs,car or other,24,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,3123,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,< 1 yr,car or other,27,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,36,all credits at this bank paid back duly,repairs,8065,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,real estate,25,none,rent,2-3,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,24,no credits taken/all credits paid back duly,furniture/equipment,2439,unknown/no savings account,< 1 yr,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,35,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,36,no credits taken/all credits paid back duly,car (used),9034,... <  100 DM,< 1 yr,< 20,male : married/widowed,co-applicant,< 1 yr,real estate,29,none,for free,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,60,no credits taken/all credits paid back duly,others,14027,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,real estate,27,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
no checking account,36,all credits at this bank paid back duly,car (new),9629,unknown/no savings account,4 <= ... < 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,building soc. savings agr./life insurance,24,none,rent,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
... < 0 DM,12,no credits taken/all credits paid back duly,furniture/equipment,1484,... >= 1000 DM,1 <= ... < 4 yrs,25 <= ... < 35,female : single,none,< 1 yr,unknown / no property,25,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,18,no credits taken/all credits paid back duly,car (used),1131,unknown/no savings account,unemployed,< 20,female : non-single or male : single,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,33,none,rent,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,24,existing credits paid back duly till now,car (used),2064,unknown/no savings account,unemployed,20 <= ... < 25,female : non-single or male : single,none,1 <= ... < 4 yrs,car or other,34,none,rent,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... < 0 DM,18,no credits taken/all credits paid back duly,car (new),12976,unknown/no savings account,unemployed,20 <= ... < 25,female : non-single or male : single,none,>= 7 yrs,real estate,38,none,own,1,manager/self-empl./highly qualif. employee,0 to 2,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,21,existing credits paid back duly till now,retraining,2580,100 <= ... <  500 DM,< 1 yr,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,41,bank,rent,1,unskilled - resident,3 or more,no,no,bad
... >= 200 DM / salary for at least 1 year,27,no credits taken/all credits paid back duly,others,2570,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,female : non-single or male : single,none,4 <= ... < 7 yrs,unknown / no property,21,none,for free,1,skilled employee/official,0 to 2,no,no,bad
... < 0 DM,27,no credits taken/all credits paid back duly,retraining,3915,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,1 <= ... < 4 yrs,building soc. savings agr./life insurance,36,none,rent,1,skilled employee/official,3 or more,yes (under customer name),no,bad
... >= 200 DM / salary for at least 1 year,10,no credits taken/all credits paid back duly,others,1309,... >= 1000 DM,1 <= ... < 4 yrs,< 20,male : married/widowed,guarantor,>= 7 yrs,car or other,27,none,rent,1,unskilled - resident,0 to 2,no,no,bad
no checking account,24,no credits taken/all credits paid back duly,others,4817,unknown/no savings account,4 <= ... < 7 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,car or other,31,none,rent,1,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,12,no credits taken/all credits paid back duly,others,2579,unknown/no savings account,< 1 yr,< 20,male : married/widowed,none,< 1 yr,unknown / no property,33,none,rent,1,unskilled - resident,3 or more,no,no,bad
... < 0 DM,36,existing credits paid back duly till now,others,2225,unknown/no savings account,>= 7 yrs,< 20,male : married/widowed,none,>= 7 yrs,real estate,57,bank,own,2-3,skilled employee/official,0 to 2,yes (under customer name),no,bad
no checking account,18,no credits taken/all credits paid back duly,car (used),4153,unknown/no savings account,1 <= ... < 4 yrs,25 <= ... < 35,male : married/widowed,co-applicant,4 <= ... < 7 yrs,building soc. savings agr./life insurance,42,none,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,18,delay in paying off in the past,car (used),3114,unknown/no savings account,< 1 yr,>= 35,female : non-single or male : single,none,>= 7 yrs,car or other,26,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,18,all credits at this bank paid back duly,car (used),2124,unknown/no savings account,1 <= ... < 4 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,24,none,for free,2-3,skilled employee/official,0 to 2,no,no,bad
no checking account,18,critical account/other credits elsewhere,car (used),1553,unknown/no savings account,1 <= ... < 4 yrs,< 20,male : married/widowed,none,4 <= ... < 7 yrs,building soc. savings agr./life insurance,44,bank,rent,1,skilled employee/official,0 to 2,no,no,bad
no checking account,30,no credits taken/all credits paid back duly,car (used),2406,unknown/no savings account,4 <= ... < 7 yrs,< 20,female : non-single or male : single,none,>= 7 yrs,unknown / no property,23,none,for free,1,skilled employee/official,0 to 2,no,no,bad
no checking account,24,existing credits paid back duly till now,others,1333,unknown/no savings account,unemployed,< 20,male : married/widowed,none,1 <= ... < 4 yrs,unknown / no property,43,none,own,2-3,skilled employee/official,3 or more,no,no,bad
no checking account,48,delay in paying off in the past,car (used),7119,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,53,none,own,2-3,skilled employee/official,3 or more,no,no,bad
no checking account,24,existing credits paid back duly till now,others,4870,unknown/no savings account,1 <= ... < 4 yrs,20 <= ... < 25,male : married/widowed,none,>= 7 yrs,real estate,53,none,own,2-3,skilled employee/official,3 or more,no,no,bad
